id,name,image_link,price,availability,category
1607,Tivoli,https://127.0.0.1/media/Product/1607/resized640_tivoli-cutie-pranz.webp,299.42,"in stock",
1608,"Rose Gold",https://127.0.0.1/media/Product/1608/resized640_rose-gold-cutie-pranz.webp,299.42,"in stock",
1610,"Black Marble 330 ml",https://127.0.0.1/media/Product/1610/resized640_black-marble-330-ml-sticla-termos.webp,134.74,"in stock",
1611,"Black Marble 500 ml",https://127.0.0.1/media/Product/1611/resized640_black-marble-500-ml-sticla-termos.webp,174.66,"in stock",
1612,"Black Marble 850 ml",https://127.0.0.1/media/Product/1612/resized640_black-marble-850-ml-sticla-termos.webp,224.57,"in stock",
1613,"Black Marble 350 ml",https://127.0.0.1/media/Product/1613/resized640_black-marble-350-ml-cana-termos.webp,144.72,"in stock",
1614,"Black Marble 600 ml",https://127.0.0.1/media/Product/1614/resized640_black-marble-600-ml-cana-termos.webp,184.64,"in stock",
1615,"Black Radiance 330 ml",https://127.0.0.1/media/Product/1615/resized640_black-radiance-330-ml-sticla-termos.webp,149.71,"in stock",
1616,"Black Radiance 500 ml",https://127.0.0.1/media/Product/1616/resized640_black-radiance-500-ml-sticla-termos.webp,199.62,"in stock",
1617,"Carrara 330 ml",https://127.0.0.1/media/Product/1617/resized640_carrara-330-ml-sticla-termos.webp,134.74,"in stock",
1618,"Carrara 500 ml",https://127.0.0.1/media/Product/1618/resized640_carrara-500-ml-sticla-termos.webp,174.66,"in stock",
1619,"Carrara 850 ml",https://127.0.0.1/media/Product/1619/resized640_carrara-850-ml-sticla-termos.webp,224.57,"in stock",
1620,"Carrara 350 ml",https://127.0.0.1/media/Product/1620/resized640_carrara-350-ml-cana-termos.webp,144.72,"in stock",
1621,"Carrara 600 ml",https://127.0.0.1/media/Product/1621/resized640_carrara-600-ml-cana-termos.webp,184.64,"in stock",
1622,"Celebrity 500 ml",https://127.0.0.1/media/Product/1622/resized640_celebrity-500-ml-sticla-termos.webp,199.62,"in stock",
1623,"Chianti Red 500 ml",https://127.0.0.1/media/Product/1623/resized640_chianti-red-500-ml-sticla-termos.webp,199.62,"in stock",
1624,"Green Marble 500 ml",https://127.0.0.1/media/Product/1624/resized640_green-marble-500-ml-sticla-termos.webp,174.66,"in stock",
1625,"Lush 500 ml",https://127.0.0.1/media/Product/1625/resized640_lush-500-ml-sticla-termos.webp,174.66,"in stock",
1626,"Lush 850 ml",https://127.0.0.1/media/Product/1626/resized640_lush-850-ml-sticla-termos.webp,224.57,"in stock",
1627,"Lush 350 ml",https://127.0.0.1/media/Product/1627/resized640_lush-350-ml-cana-termos.webp,144.72,"in stock",
